fare_id,price,currency_type,payment_method,transfers,agency_id
79-95,14.50,CAD,1,,GO
94-79,13.80,CAD,1,,GO
79-94,13.80,CAD,1,,GO
93-79,13.15,CAD,1,,GO
79-93,13.15,CAD,1,,GO
92-79,12.35,CAD,1,,GO
79-92,12.35,CAD,1,,GO
91-79,11.60,CAD,1,,GO
79-91,11.60,CAD,1,,GO
90-79,13.55,CAD,1,,GO
79-90,13.55,CAD,1,,GO
89-79,13.65,CAD,1,,GO
79-89,13.65,CAD,1,,GO
88-79,14.70,CAD,1,,GO
79-88,14.70,CAD,1,,GO
86-79,14.65,CAD,1,,GO
79-86,14.65,CAD,1,,GO
85-79,17.00,CAD,1,,GO
79-85,17.00,CAD,1,,GO
84-79,20.20,CAD,1,,GO
79-84,20.20,CAD,1,,GO
83-79,18.00,CAD,1,,GO
79-83,18.00,CAD,1,,GO
82-79,15.55,CAD,1,,GO
79-82,15.55,CAD,1,,GO
81-79,14.80,CAD,1,,GO
79-81,14.80,CAD,1,,GO
80-79,12.65,CAD,1,,GO
79-80,12.65,CAD,1,,GO
79-79,4.40,CAD,1,,GO
98-78,4.40,CAD,1,,GO
78-98,4.40,CAD,1,,GO
97-78,17.50,CAD,1,,GO
78-97,17.50,CAD,1,,GO
96-78,16.50,CAD,1,,GO
78-96,16.50,CAD,1,,GO
95-78,15.95,CAD,1,,GO
78-95,15.95,CAD,1,,GO
94-78,15.35,CAD,1,,GO
78-94,15.35,CAD,1,,GO
93-78,14.60,CAD,1,,GO
78-93,14.60,CAD,1,,GO
92-78,13.75,CAD,1,,GO
78-92,13.75,CAD,1,,GO
91-78,13.15,CAD,1,,GO
78-91,13.15,CAD,1,,GO
90-78,10.45,CAD,1,,GO
78-90,10.45,CAD,1,,GO
89-78,10.40,CAD,1,,GO
78-89,10.40,CAD,1,,GO
88-78,13.75,CAD,1,,GO
78-88,13.75,CAD,1,,GO
86-78,11.50,CAD,1,,GO
78-86,11.50,CAD,1,,GO
85-78,22.75,CAD,1,,GO
78-85,22.75,CAD,1,,GO
84-78,25.15,CAD,1,,GO
78-84,25.15,CAD,1,,GO
83-78,23.05,CAD,1,,GO
78-83,23.05,CAD,1,,GO
82-78,20.55,CAD,1,,GO
78-82,20.55,CAD,1,,GO
81-78,19.85,CAD,1,,GO
78-81,19.85,CAD,1,,GO
80-78,18.45,CAD,1,,GO
78-80,18.45,CAD,1,,GO
79-78,10.40,CAD,1,,GO
78-79,10.40,CAD,1,,GO
78-78,4.40,CAD,1,,GO
98-77,12.90,CAD,1,,GO
77-98,12.90,CAD,1,,GO
97-77,13.10,CAD,1,,GO
77-97,13.10,CAD,1,,GO
96-77,12.25,CAD,1,,GO
77-96,12.25,CAD,1,,GO
95-77,11.65,CAD,1,,GO
77-95,11.65,CAD,1,,GO
94-77,11.05,CAD,1,,GO
77-94,11.05,CAD,1,,GO
93-77,9.75,CAD,1,,GO
77-93,9.75,CAD,1,,GO
92-77,9.05,CAD,1,,GO
77-92,9.05,CAD,1,,GO
91-77,7.75,CAD,1,,GO
77-91,7.75,CAD,1,,GO
90-77,7.35,CAD,1,,GO
77-90,7.35,CAD,1,,GO
89-77,7.20,CAD,1,,GO
77-89,7.20,CAD,1,,GO
88-77,12.05,CAD,1,,GO
77-88,12.05,CAD,1,,GO
86-77,10.45,CAD,1,,GO
77-86,10.45,CAD,1,,GO
85-77,19.95,CAD,1,,GO
77-85,19.95,CAD,1,,GO
84-77,23.05,CAD,1,,GO
77-84,23.05,CAD,1,,GO
83-77,20.90,CAD,1,,GO
77-83,20.90,CAD,1,,GO
82-77,18.45,CAD,1,,GO
77-82,18.45,CAD,1,,GO
81-77,17.65,CAD,1,,GO
77-81,17.65,CAD,1,,GO
80-77,15.55,CAD,1,,GO
77-80,15.55,CAD,1,,GO
79-77,9.25,CAD,1,,GO
77-79,9.25,CAD,1,,GO
78-77,9.10,CAD,1,,GO
77-78,9.10,CAD,1,,GO
77-77,4.40,CAD,1,,GO
98-76,18.30,CAD,1,,GO
76-98,18.30,CAD,1,,GO
97-76,22.15,CAD,1,,GO
76-97,22.15,CAD,1,,GO
96-76,21.25,CAD,1,,GO
76-96,21.25,CAD,1,,GO
95-76,20.70,CAD,1,,GO
76-95,20.70,CAD,1,,GO
94-76,20.15,CAD,1,,GO
76-94,20.15,CAD,1,,GO
