stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
43.493547,0,3428,-79.713617,,,,,Dundas St East + 8th Line,0,936,
43.492157,0,2270,-79.682592,,,,,Upper Middle Rd East + Joshuas Creek Dr,0,409,
43.4798,0,2489,-79.6581,,,,,Cornwall Rd + Maple Grove Dr,0,934,
43.478,0,2782,-79.6504,,,,,Devon Rd + Donnybrook Rd,0,453,
43.490167,0,1052,-79.703483,,,,,Kestell Blvd + Coronation Dr,0,907,
43.467,0,2605,-79.6619,,,,,Devon Rd + Morrison Rd,0,1028,
43.4226,0,2647,-79.705,,,,,Bridge Rd + Warminster Dr,0,456,
43.4291,0,2713,-79.7307,,,,,Abbeywood Dr + 3rd Line,0,1118,
43.4579,0,2953,-79.7104,,,,,Oxford Ave + McCraney St West,0,183,
43.4646,0,2528,-79.7306,,,,,Towne Blvd + Richler Dr,0,265,
43.470499,0,2866,-79.706979,,,,,Upper Middle Rd East + Oakmead Blvd,0,379,
43.4408,0,2396,-79.733,,,,,Pilgrims Way + Windrush Dr (First Stop),0,378,
43.3973,0,2577,-79.7205,,,,,Rebecca St + Bronte Rd,0,828,
43.40782,0,3079,-79.735204,,,,,Wyecroft Rd + South Service Rd,0,371,
43.423367,0,3324,-79.769649,,,,,Colonel William Pkwy + Richview Blvd,0,370,
43.4355,0,2695,-79.7,,,,,530 Speers Rd,0,827,
43.4104,0,3356,-79.7236,,,,,2270 Speers Rd,0,372,
43.455455,0,2946,-79.695825,,,,,Leighland Ave + 6th Line,0,374,
43.4529,0,2355,-79.7525,,,,,Pine Glen Rd. + Proudfoot Trail,0,377,
43.4601,0,2596,-79.6723,,,,,Maple Ave + Bohemia Cr,0,376,
