direction_name,shape_id,route_id,wheelchair_accessible,service_id,block_id,trip_headsign,trip_id,direction_id
Eastbound,100.0.1989076762_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401038_Timetable_-_2026-06,Trulls,965__401038_Timetable_-_2026-06,0
Eastbound,100.0.1989076762_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_403001_Timetable_-_2026-06,Trulls,966__403001_Timetable_-_2026-06,0
Eastbound,100.0.1989076762_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401015_Timetable_-_2026-06,Trulls,967__401015_Timetable_-_2026-06,0
Eastbound,100.0.1989076762_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401038_Timetable_-_2026-06,Trulls,968__401038_Timetable_-_2026-06,0
Eastbound,100.0.2081289616_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_403001_Timetable_-_2026-06,B - Raleigh,969__403001_Timetable_-_2026-06,0
Northbound,100.0.1046829421_Timetable_-_2026-06,405,1,Weekday_merged_94434,a_401008_Timetable_-_2026-06,Delpark Homes Centre,96__401008_Timetable_-_2026-06,0
Eastbound,100.0.2081289616_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401015_Timetable_-_2026-06,B - Raleigh,970__401015_Timetable_-_2026-06,0
Eastbound,100.0.2081289613_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401015_Timetable_-_2026-06,A - Trulls via Colonel Sam,971__401015_Timetable_-_2026-06,0
Eastbound,100.0.2081289613_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_403004_Timetable_-_2026-06,A - Trulls via Colonel Sam,972__403004_Timetable_-_2026-06,0
Eastbound,100.0.2081289613_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401038_Timetable_-_2026-06,A - Trulls via Colonel Sam,973__401038_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201104_Timetable_-_2026-06,Taunton,974__201104_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201060_Timetable_-_2026-06,Taunton,975__201060_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201104_Timetable_-_2026-06,Taunton,976__201104_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201037_Timetable_-_2026-06,Taunton,977__201037_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201066_Timetable_-_2026-06,Taunton,978__201066_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201020_Timetable_-_2026-06,Taunton,979__201020_Timetable_-_2026-06,0
Southbound,100.0.1046829422_Timetable_-_2026-06,405,1,Weekday_merged_94434,a_401028_Timetable_-_2026-06,Oshawa Centre Terminal,97__401028_Timetable_-_2026-06,1
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201066_Timetable_-_2026-06,Taunton,980__201066_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201089_Timetable_-_2026-06,Taunton,981__201089_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201067_Timetable_-_2026-06,Taunton,982__201067_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201020_Timetable_-_2026-06,Taunton,983__201020_Timetable_-_2026-06,0
